,versionCreated,text,storyId,sourceCode,Polarity,Subjectivity,Score
2020-03-18 21:47:01.878,2020-03-18 21:47:54.140,"REDCAPE HOTEL GROUP PTY LTD-GIVEN UNCERTAINTY IN RELATION TO COVID-19 PANDEMIC, CO TO WITHDRAW ITS FY20 GUIDANCE",urn:newsml:reuters.com:20200318:nFWN2BB1LM:3,NS:RTRS,0.375,0.75,positive
2020-03-18 21:46:39.015,2020-03-18 21:46:39.015,Australia Stock Exchange release from REDCAPE STAPLED <RDC.AX>: Covid-19 Business Update,urn:newsml:reuters.com:20200318:nAZN006VSX:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 21:46:09.919,2020-03-18 21:46:09.919,AIR CANADA PROVIDES UPDATE ON ONGOING COVID-19 RESPONSE,urn:newsml:reuters.com:20200318:nFWN2BB1LL:1,NS:RTRS,0.0,0.3,neutral
2020-03-18 21:45:53.467,2020-03-18 21:45:53.467,Australia Stock Exchange release from DOMINOS <DMP.AX>: COVID-19 Update No.2,urn:newsml:reuters.com:20200318:nAZN006VSZ:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 21:42:41.952,2020-03-18 21:42:41.952,"PIZZA PIZZA ROYALTY -COVID-19, ASSOCIATED IMPACTS ON RESTAURANT OPERATIONS & CUSTOMER ACTIVITY, NEGATIVELY AFFECTED CO'S ROYALTY POOL SYSTEM SALES",urn:newsml:reuters.com:20200318:nFWN2BB1LK:1,NS:RTRS,-0.024999999999999994,0.7,neutral
2020-03-18 21:37:04.706,2020-03-18 21:37:04.706,"88 ENERGY -CONFIRM COVID-19 HAS HAD NO IMPACT ON OPERATIONS FOR CHARLIE-1 APPRAISAL WELL, CURRENTLY BEING DRILLED ON NORTH SLOPE OF ALASKA TO DATE",urn:newsml:reuters.com:20200318:nFWN2BB1P7:1,NS:RTRS,0.125,0.7,positive
2020-03-18 21:33:33.638,2020-03-18 21:34:34.206,LOVISA HOLDINGS - NOT IN POSITION TO ESTIMATE FINANCIAL IMPACT OF EVENTS IN COMING MONTHS RELATING TO CONDITIONS SURROUNDING COVID-19 OUTBREAK,urn:newsml:reuters.com:20200318:nFWN2BB1NC:3,NS:RTRS,-0.045714285714285714,0.29523809523809524,neutral
2020-03-18 21:31:26.662,2020-03-18 21:31:26.662,BIO-GENE TECHNOLOGY LTD - TO DATE COVID-19 HAS HAD NO REAL IMPACT ON BUSINESS PROCESSES OR COMMERCIALISATION STRATEGY,urn:newsml:reuters.com:20200318:nFWN2BB1NB:1,NS:RTRS,0.049999999999999996,0.5666666666666668,neutral
2020-03-18 21:29:53.451,2020-03-18 21:30:17.799,"DOWNER EDI LTD-GIVEN UNCERTAINTY AROUND IMPACT OF COVID-19 VIRUS, IT HAD DECIDED TO WITHDRAW ITS EARNINGS GUIDANCE FOR 2020 FINANCIAL YEAR",urn:newsml:reuters.com:20200318:nFWN2BB1LJ:3,NS:RTRS,0.0625,0.25,positive
2020-03-18 21:29:48.127,2020-03-18 21:29:48.127,"BOWL AMERICA - IN RESPONSE TO COVID-19 OUTBREAK, WILL TEMPORARILY CLOSE ALL BOWLING CENTERS UNTIL MARCH 31, 2020",urn:newsml:reuters.com:20200318:nFWN2BB1LI:1,NS:RTRS,-0.4166666666666667,1.0,negative
2020-03-18 21:28:03.510,2020-03-18 21:29:44.435,SANDFIRE RESOURCES NL - OPERATIONS UPDATE AND COVID-19 RESPONSE,urn:newsml:reuters.com:20200318:nFWN2BB1NA:2,NS:RTRS,0.19999999999999998,0.5166666666666667,positive
2020-03-18 21:29:43.815,2020-03-18 21:29:43.815,Australia Stock Exchange release from DOWNER EDI <DOW.AX>: Downer COVID-19 Update,urn:newsml:reuters.com:20200318:nAZN006VTJ:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 21:26:33.858,2020-03-18 21:29:04.452,INTERCONTINENTAL EXCHANGE - BOTH INDIVIDUALS WHO TESTED POSITIVE FOR COVID-19 WERE NOT PERMITTED TO ENTER BUILDING THIS WEEK,urn:newsml:reuters.com:20200318:nFWN2BB1P6:4,NS:RTRS,0.1331168831168831,0.45281385281385284,positive
2020-03-18 21:26:33.869,2020-03-18 21:28:18.192,INTERCONTINENTAL EXCHANGE - TRADING FLOOR INDIVIDUAL WHO TESTED POSITIVE FOR COVID-19 WAS LAST IN EXCHANGE BUILDING ON MARCH 13,urn:newsml:reuters.com:20200318:nFWN2BB1P6:3,NS:RTRS,0.1331168831168831,0.45281385281385284,positive
2020-03-18 21:26:33.858,2020-03-18 21:27:54.352,INTERCONTINENTAL EXCHANGE - COVID-19 AFFECTED NYSE EMPLOYEE WAS LAST IN EXCHANGE BUILDING ON MARCH 13 & DID NOT HAVE ACCESS TO TRADING FLOOR,urn:newsml:reuters.com:20200318:nFWN2BB1P6:2,NS:RTRS,0.1331168831168831,0.45281385281385284,positive
2020-03-18 21:27:33.448,2020-03-18 21:27:33.448,Australia Stock Exchange release from SANDFIRE <SFR.AX>: Operations Update and COVID-19 Response,urn:newsml:reuters.com:20200318:nAZN006VTM:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 21:27:15.100,2020-03-18 21:27:15.100,CITY CHIC COLLECTIVE- COVID-19 AND GOVT CONTAINMENT EFFORTS GLOBALLY AFFECTING CONSUMER SPENDING; SALES & EARNINGS IMPACT FOR FY UNCERTAIN,urn:newsml:reuters.com:20200318:nFWN2BB1N9:1,NS:RTRS,0.125,0.5,positive
2020-03-18 21:26:33.816,2020-03-18 21:26:33.816,INTERCONTINENTAL EXCHANGE INC - HAVE BEEN INFORMED THAT A MEMBER OF TRADING FLOOR COMMUNITY AND A NYSE EMPLOYEE HAVE TESTED POSITIVE FOR COVID-19,urn:newsml:reuters.com:20200318:nFWN2BB1P6:1,NS:RTRS,0.1331168831168831,0.45281385281385284,positive
2020-03-18 21:25:53.157,2020-03-18 21:26:31.100,CBTX INC SAYS TEMPORARILY SUSPENDED SHARE REPURCHASE PROGRAM IN LIGHT OF CHALLENGES PRESENTED BY COVID-19 PANDEMIC AND SURROUNDING EVENTS,urn:newsml:reuters.com:20200318:nFWN2BB1P5:2,NS:RTRS,-0.033333333333333326,0.9,neutral
